Hospital_Name,Location_,Department,Doctors_Count,Patients_Count,Admission_Date,Discharge_Date,Medical_Expenses
Global Medicare,Chennai,Dermatology,36,69,19-09-23,20-09-23,44452.26
Global Medicare,Jaipur,Urology,38,62,07-06-23,17-06-23,22074.89
Global Medicare,Kolkata,Orthopedics,22,133,13-02-23,28-02-23,18795.69
Global Medicare,Ahmedabad,Orthopedics,48,138,18-01-23,26-01-23,46741.91
Global Medicare,Bangalore,ENT,42,58,18-09-23,19-09-23,26614.52
Global Medicare,Delhi,ENT,21,66,29-12-23,13-01-24,31175.27
Global Medicare,Ahmedabad,Urology,17,29,16-01-23,25-01-23,17999.48
Global Medicare,Delhi,Cardiology,21,151,07-06-23,09-06-23,2854.22
Global Medicare,Pune,Orthopedics,6,48,11-07-23,24-07-23,46666.48
Global Medicare,Jaipur,Pediatrics,43,133,27-01-23,11-02-23,24556.18
Green Valley Hospital,Pune,Pediatrics,30,107,07-12-23,08-12-23,30006.96
Green Valley Hospital,Chennai,Pediatrics,40,96,22-03-23,28-03-23,48548.44
Green Valley Hospital,Jaipur,Dermatology,38,139,01-07-23,15-07-23,14118.62
Green Valley Hospital,Ahmedabad,Dermatology,15,112,26-03-23,28-03-23,32628.67
Green Valley Hospital,Bangalore,Pediatrics,8,177,13-08-23,17-08-23,15913.48
Green Valley Hospital,Jaipur,General Medicine,45,88,21-06-23,05-07-23,9438.26
Green Valley Hospital,Hyderabad,Neurology,35,57,09-08-23,19-08-23,4388.33
Green Valley Hospital,Kolkata,Oncology,20,77,07-03-23,18-03-23,7146.07
Healing Touch,Mumbai,Dermatology,39,70,13-09-23,15-09-23,13282.51
Healing Touch,Chennai,Cardiology,17,60,27-06-23,30-06-23,9348.55
Healing Touch,Ahmedabad,Neurology,14,68,11-11-23,22-11-23,29942.75
Healing Touch,Pune,Cardiology,46,55,25-09-23,29-09-23,25298.5
Healing Touch,Mumbai,Neurology,20,94,21-08-23,28-08-23,49955.41
Healing Touch,Delhi,General Medicine,46,23,27-05-23,29-05-23,40771.84
Healing Touch,Hyderabad,Pediatrics,30,158,13-11-23,22-11-23,16757.51
Healing Touch,Ahmedabad,Urology,13,75,07-02-23,13-02-23,26027.37
Healing Touch,Ahmedabad,Urology,21,50,22-06-23,27-06-23,10978.18
Healing Touch,Pune,Pediatrics,5,41,31-03-23,05-04-23,23916.63
Healing Touch,Jaipur,Cardiology,6,110,21-09-23,06-10-23,36545.43
Healing Touch,Pune,General Medicine,48,25,16-10-23,28-10-23,4514.63
Healing Touch,Bangalore,Oncology,40,193,01-11-23,15-11-23,47625.7
Healing Touch,Bangalore,Urology,14,37,09-12-23,15-12-23,17213.05
Heritage Hospital,Hyderabad,Urology,8,172,29-04-23,11-05-23,7000.83
Heritage Hospital,Hyderabad,Oncology,11,76,05-02-23,17-02-23,18612.34
Heritage Hospital,Jaipur,ENT,9,198,12-06-23,18-06-23,14650.23
Heritage Hospital,Lucknow,Urology,30,161,10-11-23,25-11-23,10166.89
Heritage Hospital,Bangalore,ENT,26,85,25-09-23,29-09-23,7502.64
Heritage Hospital,Jaipur,Urology,39,70,28-07-23,04-08-23,48241
Heritage Hospital,Bangalore,Urology,29,54,22-10-23,05-11-23,5084.11
Heritage Hospital,Lucknow,Neurology,44,194,18-08-23,27-08-23,33963.65
Heritage Hospital,Jaipur,General Medicine,26,169,18-02-23,19-02-23,41677.34
Metro Hospital,Bangalore,Dermatology,7,68,06-10-23,07-10-23,30136.26
Metro Hospital,Lucknow,Neurology,22,167,29-12-23,10-01-24,44531.22
Metro Hospital,Kolkata,Gynecology,10,94,18-01-23,02-02-23,35570.84
Metro Hospital,Chennai,Pediatrics,9,134,17-05-23,31-05-23,48873.72
Metro Hospital,Hyderabad,General Medicine,49,42,28-12-23,07-01-24,31342.58
Metro Hospital,Lucknow,ENT,31,75,06-06-23,11-06-23,7121.37
Metro Hospital,Chennai,Urology,28,154,04-09-23,19-09-23,23012.64
Metro Hospital,Ahmedabad,Urology,38,108,08-04-23,20-04-23,17211.57
Metro Hospital,Hyderabad,Dermatology,43,96,04-02-23,05-02-23,42883.43
Metro Hospital,Ahmedabad,Gynecology,23,20,17-04-23,22-04-23,25418.26
Metro Hospital,Lucknow,Neurology,42,163,19-05-23,26-05-23,8684.16
Sunrise Medical,Ahmedabad,Gynecology,48,37,06-08-23,11-08-23,15107.89
Sunrise Medical,Bangalore,ENT,37,26,10-07-23,24-07-23,25367.78
Sunrise Medical,Mumbai,Urology,23,109,23-06-23,01-07-23,36909.89
Sunrise Medical,Pune,Orthopedics,31,122,10-11-23,13-11-23,44290.86
Sunrise Medical,Jaipur,Oncology,19,31,01-07-23,15-07-23,43687.01
Sunrise Medical,Kolkata,Cardiology,7,50,02-08-23,07-08-23,13902.24
Sunrise Medical,Jaipur,Neurology,40,88,22-03-23,25-03-23,8333.48
Sunrise Medical,Delhi,General Medicine,24,43,29-09-23,01-10-23,45451.78
Wellness Clinic,Chennai,Orthopedics,47,182,13-12-23,14-12-23,31364.88
Wellness Clinic,Ahmedabad,Pediatrics,20,120,07-10-23,21-10-23,28574.72
Wellness Clinic,Jaipur,Neurology,47,84,20-01-23,26-01-23,26646.52
Wellness Clinic,Lucknow,Urology,37,85,09-06-23,16-06-23,4872.04
Wellness Clinic,Ahmedabad,Neurology,27,65,29-03-23,08-04-23,35720.61
Wellness Clinic,Lucknow,Cardiology,32,51,30-12-23,12-01-24,27223.46
Wellness Clinic,Bangalore,Gynecology,28,126,29-11-23,10-12-23,21065.59
